base_yr_qtr_cd,adm_cd,adm_nm,svc_induty_cd,svc_induty_nm,tot_sales_amt,tot_selng_co,mdwk_sales_amt,wkend_sales_amt,mon_sales_amt,tue_sales_amt,wed_sales_amt,thu_sales_amt,fri_sales_amt,sat_sales_amt,sun_sales_amt,tm00_06_sales_amt,tm06_11_sales_amt,tm11_14_sales_amt,tm14_17_sales_amt,tm17_21_sales_amt,tm21_24_sales_amt,ml_sales_amt,fml_sales_amt,age10_amt,age20_amt,age30_amt,age40_amt,age50_amt,age60_amt
20254,11650531,서초4동,CS100005,제과점,881076333.0,74641.0,720118214.0,160958119.0,140728516.0,138664576.0,167174076.0,134480250.0,139070796.0,100747836.0,60210283.0,258216.0,181794060.0,342744991.0,176466186.0,165353104.0,14459776.0,282447236.0,414456903.0,4310442.0,58943710.0,128683571.0,165715427.0,167760765.0,171490228.0
20254,11650531,서초4동,CS100006,패스트푸드점,287092663.0,24275.0,212435964.0,74656699.0,34970934.0,40700069.0,51169903.0,41699049.0,43896009.0,43728631.0,30928068.0,0.0,8984210.0,100875634.0,53719483.0,99991454.0,23521882.0,160782777.0,93251008.0,3459676.0,64086886.0,76252504.0,48702706.0,36751070.0,24780945.0
20254,11650531,서초4동,CS100007,치킨전문점,1274272915.0,26473.0,1083977097.0,190295818.0,196377116.0,214797183.0,222878290.0,218653403.0,231271105.0,155985868.0,34309950.0,31687336.0,0.0,215770178.0,34168210.0,392001316.0,600645875.0,683202619.0,251935040.0,1167165.0,37177025.0,118753891.0,208767007.0,289329421.0,279943146.0
20254,11650531,서초4동,CS100008,분식전문점,2664184030.0,237310.0,2097514591.0,566669439.0,399537572.0,403809021.0,449246118.0,395300131.0,449621749.0,365395676.0,201273763.0,92856629.0,266295763.0,1036471024.0,393035888.0,630104296.0,245420430.0,1138035517.0,1124238529.0,18444694.0,380115148.0,566460101.0,525784452.0,487255034.0,284214618.0
20254,11650531,서초4동,CS100009,호프-간이주점,6241159411.0,107193.0,3685567497.0,2555591914.0,520318880.0,570363703.0,774318201.0,719127163.0,1101439550.0,1504824964.0,1050766950.0,1804415667.0,87840354.0,99496097.0,60187506.0,1292213375.0,2897006412.0,3579031958.0,2261566952.0,109916049.0,2504804530.0,1984649616.0,583346777.0,476975644.0,180906294.0
20254,11650531,서초4동,CS100010,커피-음료,5984927009.0,705026.0,4643033230.0,1341893779.0,810335222.0,884013877.0,985145402.0,944336399.0,1019202330.0,798910693.0,542983086.0,18305535.0,887317588.0,2144869882.0,1390071686.0,1270245183.0,274117135.0,2177629281.0,2862560321.0,67818966.0,1166734259.0,1470621204.0,1045502391.0,830997108.0,458515679.0
20254,11650531,서초4동,CS200001,일반교습학원,3871521967.0,12186.0,3313545777.0,557976190.0,591545861.0,641066847.0,864842842.0,672578162.0,543512065.0,406722374.0,151253816.0,70148774.0,392996773.0,581420100.0,1082648367.0,1471450103.0,272857850.0,1308439699.0,2543111733.0,12335882.0,129879549.0,110386674.0,2371752077.0,1051223641.0,175973611.0
20254,11650531,서초4동,CS200002,외국어학원,911375014.0,2398.0,853724200.0,57650814.0,176999247.0,292806850.0,170733745.0,106173488.0,107010870.0,52515581.0,5135233.0,2597085.0,187697097.0,313029203.0,212709723.0,184592861.0,10749045.0,477182307.0,427365958.0,202274.0,116886672.0,78690730.0,190286881.0,418393355.0,100088353.0
20254,11650531,서초4동,CS200003,예술학원,555329840.0,2863.0,510224551.0,45105289.0,104771735.0,92380970.0,133282361.0,75036671.0,104752814.0,35087042.0,10018247.0,6499846.0,30798169.0,66916217.0,220929809.0,210834485.0,19351314.0,211193939.0,344135901.0,0.0,17193150.0,63773697.0,378792492.0,73388975.0,22181526.0
20254,11650531,서초4동,CS200005,스포츠 강습,565747135.0,1405.0,502722505.0,63024630.0,124623366.0,97364557.0,70598600.0,121159153.0,88976829.0,62459040.0,565590.0,0.0,76872507.0,96673459.0,108673824.0,256028425.0,27498920.0,187402519.0,365597078.0,0.0,40923670.0,117018562.0,179186174.0,172119692.0,43751498.0
20254,11650531,서초4동,CS200006,일반의원,71212259145.0,237400.0,57373205027.0,13839054118.0,12022702866.0,10170559893.0,11026449793.0,9331339322.0,14822153153.0,11908693812.0,1930360306.0,13223153.0,14556787885.0,23803563981.0,21440890878.0,11129337218.0,268456030.0,19765297631.0,51416846695.0,295161700.0,14740359796.0,20224887042.0,15379420964.0,14613667671.0,5928647152.0
20254,11650531,서초4동,CS200007,치과의원,11051227890.0,41158.0,9303416459.0,1747811431.0,2053858553.0,2188444740.0,1841906592.0,1443304349.0,1775902225.0,1550496707.0,197314724.0,0.0,1825620390.0,4011462865.0,3527460495.0,1671288186.0,15395954.0,5586512113.0,5442000041.0,22658585.0,664567941.0,1001058429.0,2068808987.0,3027862378.0,4243555833.0
20254,11650531,서초4동,CS200008,한의원,4345463493.0,54617.0,3544379685.0,801083808.0,895353196.0,723039453.0,636066590.0,512187424.0,777733022.0,795233352.0,5850456.0,0.0,360710094.0,1795355121.0,1400839680.0,788558598.0,0.0,1628490742.0,2642764727.0,813166.0,240406282.0,1051086707.0,1028473429.0,792612848.0,1157863037.0
